ProdID,Discontinued,ProductID,ProductName,SupplierID,SupplierID2,CategoryID,UM,QuantityPerUnit,QUM,ChargeConvertInd,ReorderLevel,ReorderInd,ReOrderDate,Qty_OnHand,Qty_Commit,Qty_OnOrder,Transport_Time,TaxableItem,EffBegDte,EffEndDte,UPC,PPic,uc,uc_date,updated,created,Notes
48,FALSE,30140,Green Leaf Lettuce,FCBLOX,COABRO,L,HD,CS,24,,0,P,11/5/2016,-665645,-16584,380687,0,0,1/1/1990,,,,$0.56 ,7/12/2016,4/15/2011,11/23/1999,
51,FALSE,10119,Red Chili Pepper,ASIDIS,FSI,P,LB,CS,30,,0,P,8/24/2016,816,106,1693,0,0,1/1/1990,,,,$4.20 ,9/2/2003,2/21/2013,11/23/1999,
52,FALSE,10120,Thai Chili Pepper,HAUHAU,FSI,P,LB,LB,1,,0,P,11/3/2016,-21600,-621,,0,0,1/1/1990,,,,$2.40 ,3/9/2016,1/27/2015,11/23/1999,
53,FALSE,10121,Daikon,FSI,FOOCON,AV,LB,CS,40,,0,P,11/3/2016,-547313,-5342,312905,0,0,1/1/1990,,,,$0.70 ,4/4/2016,8/8/2011,11/23/1999,
59,FALSE,10129,Galanga,HUAPRO,FSI,AV,LB,LB,1,,0,P,10/27/2016,-1684,-406,10246,0,0,1/1/1990,,,,$3.00 ,12/13/2003,2/24/2012,11/23/1999,
65,FALSE,10140,Guylon (chinese Broccoli),HAUHAU,FSI,AV,LB,CS,30,,0,P,11/5/2016,25161,-4656,20313,0,0,1/1/1990,,,,$1.12 ,7/20/2016,6/24/2013,11/23/1999,
69,FALSE,10144,Kabocha,FSI,,AV,LB,LB,1,,0,P,11/3/2016,-208286,-70216,110484,0,0,1/1/1990,,,,$0.44 ,11/17/2003,8/12/2014,11/23/1999,
70,FALSE,10145,Lemon Grass,HAUHAU,VIBMIN,AV,LB,CS,40,,0,P,11/1/2016,-28113,779,200851,0,0,1/1/1990,,,,$2.24 ,8/11/2016,7/21/2015,11/23/1999,
75,FALSE,10150,Lime Leaf,FSI,ASIDIS,AV,LB,LB,1,,0,P,11/4/2016,-697,122,8923,0,0,1/1/1990,,,,$20.00 ,12/10/2003,4/15/2011,11/23/1999,
79,FALSE,10159,Nappa Paper Carton,FSI,,SVF,LB,CS,40,,0,P,11/4/2016,14244,-8252,23627,0,0,1/1/1990,,,,$0.32 ,5/27/2016,6/1/2016,11/23/1999,
80,FALSE,10160,Lobac (chinese Radish),FSI,HAUHAU,SVSU,LB,CS,40,,0,P,11/4/2016,4758,-1971,-6195,0,0,1/1/1990,,,,$0.43 ,10/4/2016,9/10/2016,11/23/1999,
83,FALSE,10165,Long Beans,FSI,HAUHAU,AV,LB,CS,30,,0,P,11/5/2016,11728,-558,-886,0,0,1/1/1990,,,,$2.00 ,9/16/2016,4/15/2011,11/23/1999,
88,FALSE,10170,Chinese Eggplant,FSI,PACRIM,AV,LB,CS,30,,0,P,11/5/2016,-549003,7763,385604,0,0,1/1/1990,,,,$0.43 ,9/14/2016,3/5/2013,11/23/1999,
91,FALSE,10175,Nira ( Garlic Chives),FSI,HAUHAU,AV,LB,LB,1,,0,P,11/2/2016,-6953,-547,8862,0,0,1/1/1990,,,,$2.00 ,12/16/2005,4/15/2011,11/23/1999,
92,FALSE,10176,Ngor Gai,PACRIM,HAUHAU,AV,LB,LB,1,,0,P,11/5/2016,-958,117,1182,0,0,1/1/1990,,,,$0.70 ,11/28/2003,10/8/2016,11/23/1999,
96,FALSE,10180,Ongchoy (swamp Cabbage),PACRIM,FSI,AV,LB,LB,1,,0,P,11/3/2016,589,-20,4422,0,0,1/1/1990,,,,$1.40 ,9/1/2015,12/28/2015,11/23/1999,
101,FALSE,10190,Shanghai Bokchoy -cal.,HAUHAU,FSI,AV,LB,CS,30,,0,P,11/5/2016,-346237,2585,207436,0,0,1/1/1990,,,,$0.73 ,11/6/2015,11/3/2015,11/23/1999,
103,FALSE,10195,Sugar Pea Vine (daemue),FSI,ASIDIS,AV,LB,LB,1,,0,P,11/3/2016,1470,126,1154,0,0,1/1/1990,,,,$3.60 ,9/6/2012,4/15/2011,11/23/1999,
108,FALSE,10210,Yuchoy,FSI,HAUHAU,AV,LB,CS,30,,0,P,11/5/2016,3064,-2385,590,0,0,1/1/1990,,,,$0.93 ,6/13/2012,4/15/2011,11/23/1999,
110,FALSE,10215,Wintermelon (donqua),FSI,ASIDIS,AV,LB,LB,1,,0,P,11/1/2016,-6108,-5098,-542,0,0,1/1/1990,,,,$0.95 ,12/5/2013,7/7/2012,11/23/1999,
112,FALSE,10225,Pandan Leaves,FSI,ASIDIS,AV,LB,LB,1,,0,P,11/4/2016,-176,308,1863,0,0,1/1/1990,,,,$4.50 ,8/27/2013,4/15/2011,11/23/1999,
120,FALSE,20113,Asparagus 11# - Std,FCBLOX,CHAPRO,SVS,LB,CS,11,,0,P,11/4/2016,-57365,-9658,,2,0,1/1/1990,,,,$2.91 ,1/28/2016,1/10/2013,11/23/1999,
124,TRUE,20120,Green Beans Blue Lake,HAUHAU,PACRIM,V,LB,CS,30,,0,P,11/3/2016,-974231,460,664125,0,0,1/1/1990,,,,$1.15 ,10/12/2016,5/15/2015,11/23/1999,
132,FALSE,20133,Brussels Sprouts,CHAPRO,ROSELL,SVF,LB,CS,25,,0,P,11/3/2016,7780,-981,4547,0,0,1/1/1990,,,,$1.21 ,10/28/2016,3/16/2013,11/23/1999,
133,FALSE,20134,Broccoli Crowns (asian Cut),FCBLOX,HAUHAU,V,LB,CS,20,,0,P,11/5/2016,-4292511,-62798,2073765,0,0,1/1/1990,,,,$0.65 ,6/16/2016,4/15/2011,11/23/1999,
134,FALSE,20135, Carrot-jumbo,FCBLOX,DRABER,V,LB,SX,25,,,P,11/3/2016,-3628544,-31116,1759649,0,0,1/1/1990,,,,$0.39 ,9/23/2016,4/15/2011,11/23/1999,
143,FALSE,20141,Cauliflower 12 Count,FCBLOX,COABRO,V,EA,CS,12,,0,P,8/30/2016,-26247,28,-1573,0,0,1/1/1990,,,,$1.15 ,4/23/2016,4/15/2011,11/23/1999,
149,FALSE,20150, Celery 18 Count,FCBLOX,PACRIM,V,STK,CS,18,,0,P,11/4/2016,-478402,-11151,185592,0,0,1/1/1990,,,,$0.78 ,7/29/2016,4/15/2011,11/23/1999,
153,FALSE,20159,Chinese Celery,ASIDIS,FSI,AV,LB,LB,1,,0,P,11/3/2016,-2589,-318,334,0,0,1/1/1990,,,,$1.25 ,3/25/2016,4/15/2011,11/23/1999,
154,FALSE,20160,Cherry Tomato,FCBLOX,PACRIM,T,CUP,CS,12,,0,P,11/3/2016,-16529,-1456,-1596,0,0,1/1/1990,,,,$1.65 ,11/24/2015,4/15/2011,11/23/1999,
163,FALSE,20170,Cucumber 6 Top,FCBLOX,COABRO,V,LB,CS,25,LB,0,P,11/3/2016,-1791101,-4550,772475,0,0,1/1/1990,,,,$0.72 ,1/21/2016,4/15/2011,11/23/1999,
165,FALSE,20180,Eggplant,FCBLOX,COABRO,V,LB,CS,24,,0,P,11/2/2016,-24528,538,-1437,0,0,1/1/1990,,,,$1.00 ,1/18/2016,4/15/2011,11/23/1999,
166,FALSE,20185,English Cucumber 16 Count,FCBLOX,COABRO,V,EA,CS,16,,0,P,11/3/2016,-1006654,17705,685486,0,0,1/1/1990,,,,$1.06 ,2/23/2016,11/8/2013,11/23/1999,
170,FALSE,20190,Garlic,FCBLOX,COABRO,PO,LB,CS,30,,0,P,10/24/2016,5703,-322,3239,0,0,1/1/1990,,,,$1.58 ,3/27/2012,4/15/2011,11/23/1999,
174,FALSE,20200,Ginger - Usa,FCBLOX,PACRIM,PO,LB,CS,30,,0,P,1/2/2016,1685,246,976,0,0,1/1/1990,,,,$2.20 ,1/15/2015,4/15/2011,11/23/1999,
184,FALSE,20210,Green Pepper-large,FCBLOX,COABRO,P,LB,CS,25,LB,0,P,10/28/2016,-1768754,-7617,369744,0,0,1/1/1990,,,,$0.46 ,10/6/2016,4/15/2011,11/23/1999,
190,FALSE,20225,Jalapeno,FCBLOX,JOHFAM,P,LB,CS,10,,0,P,8/24/2011,6344,1122,160,0,0,1/1/1990,,,,$0.80 ,10/28/2003,2/24/2003,11/23/1999,
192,FALSE,20227,Jalapeno- Large Box,COABRO,PACRIM,V,LB,CS,40,,0,P,11/3/2016,32316,-1388,430520,0,0,1/1/1990,,,,$0.69 ,7/20/2016,4/15/2011,11/23/1999,
194,FALSE,20230,Mushroom- Medium Ostroms,OSTFAR,TRIPRO,V,LB,CS,10,,0,P,11/4/2016,-1280420,-19763,764336,0,0,1/1/1990,,,,$1.30 ,12/15/2003,10/1/2015,11/23/1999,
204,FALSE,25106,Pickle Cucumber Small Box,PACRIM,FSI,V,LB,CS,25,,0,P,11/3/2016,-8757,15044,1762,0,0,1/1/1990,,,,$0.80 ,10/10/2007,8/18/2015,11/23/1999,
206,FALSE,25110,Radish Topped,CHAPRO,FCBLOX,PO,LB,SX,25,,0,P,10/27/2016,9,9,642,0,0,1/1/1990,,,,$0.68 ,11/17/2003,4/22/2016,11/23/1999,
210,FALSE,25115,Red Pepper 25#,FCBLOX,COABRO,P,LB,CS,25,,0,P,11/3/2016,-1260314,22296,656075,0,0,1/1/1990,,,,$0.64 ,9/20/2016,4/15/2011,11/23/1999,
216,FALSE,25122,Roma Tomato,FCBLOX,COABRO,T,LB,CS,25,,0,P,11/3/2016,-391271,-3879,83240,0,0,1/1/1990,,,,$0.64 ,4/23/2016,4/15/2011,11/23/1999,
218,FALSE,25125,Snow Pea,FCBLOX,COABRO,V,LB,CS,10,,0,P,11/2/2016,-369013,-4382,209530,0,0,1/1/1990,,,,$1.70 ,8/8/2016,10/15/2015,11/23/1999,
221,FALSE,25130,Sugar Snap Pea,FSI,COABRO,V,LB,CS,10,,0,P,10/31/2016,579,1565,408,0,0,1/1/1990,,,,$3.20 ,11/13/2003,5/13/2015,11/23/1999,
234,FALSE,25143,Beet,CHAPRO,COABRO,PO,LB,CS,25,,0,P,10/17/2016,-6061,-115,-1561,0,0,1/1/1990,,,,$0.52 ,6/24/2015,4/15/2011,11/23/1999,
240,FALSE,25155,Zucchini - Medium,FCBLOX,COABRO,V,LB,CS,24,,0,P,11/3/2016,-1024695,-10762,429526,0,0,1/1/1990,,20134,,$0.58 ,9/16/2016,4/15/2011,11/23/1999,
251,FALSE,30120,Green Cabbage,FCBLOX,COABRO,L,LB,CS,45,,0,P,11/5/2016,-5076643,-314930,1734104,0,0,1/1/1990,,100,,$0.27 ,9/9/2016,4/15/2011,11/23/1999,
254,FALSE,30125,Endive,FCBLOX,PACRIM,L,HD,CS,24,,0,P,11/3/2016,2303,-852,2659,0,0,1/1/1990,,,,$0.74 ,12/13/2003,5/26/2015,11/23/1999,
260,FALSE,30135,Green Kale,COABRO,CHAPRO,L,HD,CS,24,,0,P,11/4/2016,-1144,11,2505,0,0,1/1/1990,,,,$0.51 ,11/24/2004,11/4/2016,11/23/1999,
261,FALSE,30145,Iceburg Lettuce,FCBLOX,COABRO,L,HD,CS,24,,0,P,11/3/2016,-1471927,-8322,566909,0,0,1/1/1990,,,,$0.48 ,10/19/2016,4/15/2011,11/23/1999,
266,FALSE,30160,Red Cabbage,FCBLOX,COABRO,L,LB,CS,45,,0,P,11/3/2016,-330101,-270,135549,0,0,1/1/1990,,,,$0.57 ,6/27/2015,4/15/2011,11/23/1999,
